Box ID	Treatment 	Week	Date	SL	remarks
5.03	Grouped	1	2020/2/7	18.82	
5.03	Grouped	1	2020/2/7	19.54	
5.04	Grouped	1	2020/2/7	19.50	
5.04	Grouped	1	2020/2/7	18.70	
5.04	Grouped	1	2020/2/7	20.67	
5.04	Grouped	1	2020/2/7	19.41	
5.04	Grouped	1	2020/2/7	19.41	
5.05	Grouped	1	2020/2/7	20.80	
5.05	Grouped	1	2020/2/7	16.53	
5.05	Grouped	1	2020/2/7	20.16	
5.05	Grouped	1	2020/2/7	19.67	
5.05	Grouped	1	2020/2/7	18.08	
5.06	Grouped	1	2020/2/7	21.20	
5.06	Grouped	1	2020/2/7	17.86	
5.06	Grouped	1	2020/2/7	21.01	
5.06	Grouped	1	2020/2/7	21.26	
5.06	Grouped	1	2020/2/7	20.36	
5.07	Grouped	1	2020/2/7	19.76	
5.07	Grouped	1	2020/2/7	19.39	
5.07	Grouped	1	2020/2/7	21.33	
5.07	Grouped	1	2020/2/7	18.14	
5.07	Grouped	1	2020/2/7	19.81	
5.08	Grouped	1	2020/2/7	20.81	
5.08	Grouped	1	2020/2/7	20.42	
5.08	Grouped	1	2020/2/7	19.46	
5.08	Grouped	1	2020/2/7	22.30	
5.08	Grouped	1	2020/2/7	22.08	
5.09	Grouped	1	2020/2/7	20.42	
5.09	Grouped	1	2020/2/7	20.67	
5.09	Grouped	1	2020/2/7	21.60	
5.09	Grouped	1	2020/2/7	20.98	
5.09	Grouped	1	2020/2/7	19.81	
5.10	Grouped	1	2020/2/7	21.19	
5.10	Grouped	1	2020/2/7	16.32	
5.10	Grouped	1	2020/2/7	20.42	
5.10	Grouped	1	2020/2/7	19.34	
5.10	Grouped	1	2020/2/7	20.41	
1.01	Isolated	3	2020/2/24	26.50	
1.02	Isolated	3	2020/2/24	26.67	
1.03	Isolated	3	2020/2/24	25.80	
1.04	Isolated	3	2020/2/24	24.30	
1.05	Isolated	3	2020/2/24	25.99	
1.06	Isolated	3	2020/2/24	27.28	
1.07	Isolated	3	2020/2/24	28.31	
1.08	Isolated	3	2020/2/24	27.06	
1.09	Isolated	3	2020/2/24	27.18	
1.10	Isolated	3	2020/2/24	26.64	
2.01	Paired	3	2020/2/24	25.90	
2.01	Paired	3	2020/2/24	27.17	
2.02	Paired	3	2020/2/24	27.09	
2.02	Paired	3	2020/2/24	26.28	
2.03	Paired	3	2020/2/24	27.72	
2.03	Paired	3	2020/2/24	27.47	
2.04	Paired	3	2020/2/24	28.12	
2.04	Paired	3	2020/2/24	26.96	
2.05	Paired	3	2020/2/24	28.89	
2.05	Paired	3	2020/2/24	27.03	
2.06	Paired	3	2020/2/24	25.52	
2.06	Paired	3	2020/2/24	27.12	
2.07	Paired	3	2020/2/24	27.50	
2.07	Paired	3	2020/2/24	27.17	
2.08	Paired	3	2020/2/24	25.12	
2.08	Paired	3	2020/2/24	27.25	
2.09	Paired	3	2020/2/24	25.13	
2.09	Paired	3	2020/2/24	26.53	
2.10	Paired	3	2020/2/24	27.87	
2.10	Paired	3	2020/2/24	26.92	
5.01	Grouped	3	2020/2/24	27.85	
5.01	Grouped	3	2020/2/24	26.04	
5.01	Grouped	3	2020/2/24	27.41	
5.01	Grouped	3	2020/2/24	26.32	
5.01	Grouped	3	2020/2/24	28.07	
5.02	Grouped	3	2020/2/24	28.58	
5.02	Grouped	3	2020/2/24	25.57	
5.02	Grouped	3	2020/2/24	27.25	
5.02	Grouped	3	2020/2/24	27.58	
5.02	Grouped	3	2020/2/24	25.35	
5.03	Grouped	3	2020/2/24	26.21	
5.03	Grouped	3	2020/2/24	27.71	
5.03	Grouped	3	2020/2/24	25.27	
5.03	Grouped	3	2020/2/24	25.48	
5.03	Grouped	3	2020/2/24		
5.04	Grouped	3	2020/2/24	26.57	
5.04	Grouped	3	2020/2/24	28.20	
5.04	Grouped	3	2020/2/24	25.85	
5.04	Grouped	3	2020/2/24	27.00	
5.04	Grouped	3	2020/2/24	27.79	
5.05	Grouped	3	2020/2/24	24.83	
5.05	Grouped	3	2020/2/24	25.68	
5.05	Grouped	3	2020/2/24	27.30	
5.05	Grouped	3	2020/2/24	27.34	
5.05	Grouped	3	2020/2/24	27.74	
5.06	Grouped	3	2020/2/24	27.67	
5.06	Grouped	3	2020/2/24	28.82	
5.06	Grouped	3	2020/2/24	25.76	
5.06	Grouped	3	2020/2/24	27.95	
5.06	Grouped	3	2020/2/24	27.26	
5.07	Grouped	3	2020/2/24	27.39	
5.07	Grouped	3	2020/2/24	27.15	
5.07	Grouped	3	2020/2/24	28.75	
5.07	Grouped	3	2020/2/24	25.68	
5.07	Grouped	3	2020/2/24	26.72	
5.08	Grouped	3	2020/2/24	28.53	
5.08	Grouped	3	2020/2/24	27.91	
5.08	Grouped	3	2020/2/24	26.90	
5.08	Grouped	3	2020/2/24	27.81	
5.08	Grouped	3	2020/2/24	28.99	
5.09	Grouped	3	2020/2/24	28.87	
5.09	Grouped	3	2020/2/24	26.22	
5.09	Grouped	3	2020/2/24	26.85	
5.09	Grouped	3	2020/2/24	27.56	
5.09	Grouped	3	2020/2/24	27.92	
5.10	Grouped	3	2020/2/24	27.31	
5.10	Grouped	3	2020/2/24	27.33	
5.10	Grouped	3	2020/2/24	26.98	
5.10	Grouped	3	2020/2/24	28.13	
5.10	Grouped	3	2020/2/24	24.11	
1.01	Isolated	5	2020/3/9	30.45	
1.02	Isolated	5	2020/3/9	30.68	
1.03	Isolated	5	2020/3/9	30.36	
1.04	Isolated	5	2020/3/9	28.87	
1.05	Isolated	5	2020/3/9	28.69	
1.06	Isolated	5	2020/3/9	31.66	
1.07	Isolated	5	2020/3/9	32.01	
1.08	Isolated	5	2020/3/9	31.08	
1.09	Isolated	5	2020/3/9	30.11	
1.10	Isolated	5	2020/3/9	27.99	
2.01	Paired	5	2020/3/9	29.58	
2.01	Paired	5	2020/3/9	29.58	
2.02	Paired	5	2020/3/9	33.88	
2.02	Paired	5	2020/3/9	34.60	
2.03	Paired	5	2020/3/9	31.31	
2.03	Paired	5	2020/3/9	31.37	
2.04	Paired	5	2020/3/9	31.99	
2.04	Paired	5	2020/3/9	29.69	
2.05	Paired	5	2020/3/9	29.93	
2.05	Paired	5	2020/3/9	32.06	
2.06	Paired	5	2020/3/9	28.23	
2.06	Paired	5	2020/3/9	31.21	
2.07	Paired	5	2020/3/9	27.52	
2.07	Paired	5	2020/3/9	30.56	
2.08	Paired	5	2020/3/9	30.61	
2.08	Paired	5	2020/3/9	28.62	
2.09	Paired	5	2020/3/9	28.07	
2.09	Paired	5	2020/3/9	29.07	
2.10	Paired	5	2020/3/9	29.76	
2.10	Paired	5	2020/3/9	31.42	
5.01	Grouped	5	2020/3/9	29.37	
5.01	Grouped	5	2020/3/9	29.69	
5.01	Grouped	5	2020/3/9	31.04	
5.01	Grouped	5	2020/3/9	29.55	
5.01	Grouped	5	2020/3/9	32.16	
5.02	Grouped	5	2020/3/9	31.28	
5.02	Grouped	5	2020/3/9	30.91	
5.02	Grouped	5	2020/3/9	29.97	
5.02	Grouped	5	2020/3/9	29.20	
5.02	Grouped	5	2020/3/9	28.89	
5.03	Grouped	5	2020/3/9	29.18	
5.03	Grouped	5	2020/3/9	28.65	
5.03	Grouped	5	2020/3/9	30.79	
5.03	Grouped	5	2020/3/9	28.95	
5.03	Grouped	5	2020/3/9		
5.04	Grouped	5	2020/3/9	30.17	
5.04	Grouped	5	2020/3/9	29.62	
5.04	Grouped	5	2020/3/9	31.35	
5.04	Grouped	5	2020/3/9	31.85	
5.04	Grouped	5	2020/3/9	30.00	
5.05	Grouped	5	2020/3/9	29.41	
5.05	Grouped	5	2020/3/9	29.57	
5.05	Grouped	5	2020/3/9	31.07	
5.05	Grouped	5	2020/3/9	31.18	
5.05	Grouped	5	2020/3/9	29.54	
5.06	Grouped	5	2020/3/9	28.51	
5.06	Grouped	5	2020/3/9	31.16	
5.06	Grouped	5	2020/3/9	30.60	
5.06	Grouped	5	2020/3/9	30.61	
5.06	Grouped	5	2020/3/9	30.08	
5.07	Grouped	5	2020/3/9	29.18	
5.07	Grouped	5	2020/3/9	30.45	
5.07	Grouped	5	2020/3/9	31.20	
5.07	Grouped	5	2020/3/9	31.46	
5.07	Grouped	5	2020/3/9	29.55	
5.08	Grouped	5	2020/3/9	29.13	"short mantle, escaped? "
5.08	Grouped	5	2020/3/9	30.94	
5.08	Grouped	5	2020/3/9	32.40	
5.08	Grouped	5	2020/3/9	31.13	
5.08	Grouped	5	2020/3/9	30.67	
5.09	Grouped	5	2020/3/9	30.57	
5.09	Grouped	5	2020/3/9	31.76	
5.09	Grouped	5	2020/3/9	29.02	
5.09	Grouped	5	2020/3/9	29.27	
5.09	Grouped	5	2020/3/9	29.23	
5.10	Grouped	5	2020/3/9	29.70	
5.10	Grouped	5	2020/3/9	28.36	
5.10	Grouped	5	2020/3/9	31.47	
5.10	Grouped	5	2020/3/9	30.85	
5.10	Grouped	5	2020/3/9	30.27	
1.01	Isolated	7	2020/3/23	33.32	
1.02	Isolated	7	2020/3/23	33.52	
1.03	Isolated	7	2020/3/23	32.14	
1.04	Isolated	7	2020/3/23	30.06	
1.05	Isolated	7	2020/3/23	30.40	
1.06	Isolated	7	2020/3/23	35.06	
1.07	Isolated	7	2020/3/23	34.02	
1.08	Isolated	7	2020/3/23	33.91	
1.09	Isolated	7	2020/3/23	31.93	
1.10	Isolated	7	2020/3/23	30.63	
2.01	Paired	7	2020/3/23		1 dead
2.01	Paired	7	2020/3/23		
2.02	Paired	7	2020/3/23	31.27	
2.02	Paired	7	2020/3/23	31.27	
2.03	Paired	7	2020/3/23	33.99	
2.03	Paired	7	2020/3/23	32.88	
2.04	Paired	7	2020/3/23	31.88	
2.04	Paired	7	2020/3/23	34.95	
2.05	Paired	7	2020/3/23	32.40	
2.05	Paired	7	2020/3/23	34.34	
2.06	Paired	7	2020/3/23	33.23	
2.06	Paired	7	2020/3/23	30.26	
2.07	Paired	7	2020/3/23	32.13	
2.07	Paired	7	2020/3/23	28.31	
2.08	Paired	7	2020/3/23	30.54	
2.08	Paired	7	2020/3/23	32.08	
2.09	Paired	7	2020/3/23	31.72	
2.09	Paired	7	2020/3/23	30.15	
2.10	Paired	7	2020/3/23	32.02	
2.10	Paired	7	2020/3/23	34.21	
5.01	Grouped	7	2020/3/23	32.13	
5.01	Grouped	7	2020/3/23	32.48	
5.01	Grouped	7	2020/3/23	32.39	
5.01	Grouped	7	2020/3/23	34.23	
5.01	Grouped	7	2020/3/23	32.25	
5.02	Grouped	7	2020/3/23	32.58	
5.02	Grouped	7	2020/3/23	32.36	
5.02	Grouped	7	2020/3/23	32.06	
5.02	Grouped	7	2020/3/23	29.99	
5.02	Grouped	7	2020/3/23	30.67	
5.03	Grouped	7	2020/3/23		
5.03	Grouped	7	2020/3/23		
5.03	Grouped	7	2020/3/23		
5.03	Grouped	7	2020/3/23		
5.03	Grouped	7	2020/3/23		
5.04	Grouped	7	2020/3/23	31.23	
5.04	Grouped	7	2020/3/23	32.13	
5.04	Grouped	7	2020/3/23	30.55	
5.04	Grouped	7	2020/3/23	33.77	
5.04	Grouped	7	2020/3/23	35.12	"34.05 removed, 6th measurement.. "
5.05	Grouped	7	2020/3/23	33.47	
5.05	Grouped	7	2020/3/23	31.47	
5.05	Grouped	7	2020/3/23	32.67	
5.05	Grouped	7	2020/3/23	32.36	
5.05	Grouped	7	2020/3/23	31.86	
5.06	Grouped	7	2020/3/23	31.39	
5.06	Grouped	7	2020/3/23	33.02	
5.06	Grouped	7	2020/3/23	33.04	
5.06	Grouped	7	2020/3/23	33.03	
5.06	Grouped	7	2020/3/23		missing
5.07	Grouped	7	2020/3/23	33.47	
5.07	Grouped	7	2020/3/23	32.99	
5.07	Grouped	7	2020/3/23	31.40	
5.07	Grouped	7	2020/3/23	34.15	
5.07	Grouped	7	2020/3/23	31.76	
5.08	Grouped	7	2020/3/23		
5.08	Grouped	7	2020/3/23		
5.08	Grouped	7	2020/3/23		
5.08	Grouped	7	2020/3/23		
5.08	Grouped	7	2020/3/23		
5.09	Grouped	7	2020/3/23	32.03	
5.09	Grouped	7	2020/3/23	32.61	
5.09	Grouped	7	2020/3/23	33.93	
5.09	Grouped	7	2020/3/23	30.87	
5.09	Grouped	7	2020/3/23	31.11	
5.10	Grouped	7	2020/3/23	31.77	
5.10	Grouped	7	2020/3/23	34.47	
5.10	Grouped	7	2020/3/23	30.11	
5.10	Grouped	7	2020/3/23	32.46	
5.10	Grouped	7	2020/3/23	32.64	
1.01	Isolated	9	2020/4/6	34.75	
1.02	Isolated	9	2020/4/6	34.52	
1.03	Isolated	9	2020/4/6	33.28	
1.04	Isolated	9	2020/4/6	31.79	
1.05	Isolated	9	2020/4/6	31.20	
1.06	Isolated	9	2020/4/6	36.93	
1.07	Isolated	9	2020/4/6	35.76	
1.08	Isolated	9	2020/4/6	34.89	
1.09	Isolated	9	2020/4/6	32.94	
1.10	Isolated	9	2020/4/6	30.84	
2.01	Paired	9	2020/4/6		
2.01	Paired	9	2020/4/6		
2.02	Paired	9	2020/4/6	32.51	
2.02	Paired	9	2020/4/6	32.74	
2.03	Paired	9	2020/4/6	35.49	
2.03	Paired	9	2020/4/6	34.41	
2.04	Paired	9	2020/4/6	36.45	
2.04	Paired	9	2020/4/6	34.03	
2.05	Paired	9	2020/4/6	34.29	
2.05	Paired	9	2020/4/6	36.77	
2.06	Paired	9	2020/4/6	34.65	
2.06	Paired	9	2020/4/6	32.32	
2.07	Paired	9	2020/4/6	33.57	
2.07	Paired	9	2020/4/6	29.35	
2.08	Paired	9	2020/4/6	33.15	
2.08	Paired	9	2020/4/6	32.17	
2.09	Paired	9	2020/4/6	31.31	
2.09	Paired	9	2020/4/6	33.45	
2.10	Paired	9	2020/4/6	35.95	
2.10	Paired	9	2020/4/6	34.51	
5.01	Grouped	9	2020/4/6	32.32	
5.01	Grouped	9	2020/4/6	34.27	
5.01	Grouped	9	2020/4/6	33.75	
5.01	Grouped	9	2020/4/6	35.72	
5.01	Grouped	9	2020/4/6	33.63	
5.02	Grouped	9	2020/4/6	32.76	
5.02	Grouped	9	2020/4/6	33.10	
5.02	Grouped	9	2020/4/6	35.06	
5.02	Grouped	9	2020/4/6	35.10	
5.02	Grouped	9	2020/4/6	33.01	
5.03	Grouped	9	2020/4/6		
5.03	Grouped	9	2020/4/6		
5.03	Grouped	9	2020/4/6		
5.03	Grouped	9	2020/4/6		
5.03	Grouped	9	2020/4/6		
5.04	Grouped	9	2020/4/6	34.35	
5.04	Grouped	9	2020/4/6	35.94	
5.04	Grouped	9	2020/4/6	31.74	
5.04	Grouped	9	2020/4/6	33.99	
5.04	Grouped	9	2020/4/6	35.50	
5.05	Grouped	9	2020/4/6	34.32	
5.05	Grouped	9	2020/4/6	34.49	
5.05	Grouped	9	2020/4/6	33.41	
5.05	Grouped	9	2020/4/6	35.31	
5.05	Grouped	9	2020/4/6	34.65	
5.06	Grouped	9	2020/4/6	33.75	
5.06	Grouped	9	2020/4/6	34.43	
5.06	Grouped	9	2020/4/6	37.43	
5.06	Grouped	9	2020/4/6	34.34	
5.06	Grouped	9	2020/4/6	35.38	
5.07	Grouped	9	2020/4/6	35.83	
5.07	Grouped	9	2020/4/6	36.88	
5.07	Grouped	9	2020/4/6	33.32	
5.07	Grouped	9	2020/4/6	33.64	
5.07	Grouped	9	2020/4/6	35.05	
5.08	Grouped	9	2020/4/6		
5.08	Grouped	9	2020/4/6		
5.08	Grouped	9	2020/4/6		
5.08	Grouped	9	2020/4/6		
5.08	Grouped	9	2020/4/6		
5.09	Grouped	9	2020/4/6		
5.09	Grouped	9	2020/4/6		
5.09	Grouped	9	2020/4/6		
5.09	Grouped	9	2020/4/6		
5.09	Grouped	9	2020/4/6		
5.10	Grouped	9	2020/4/6	33.54	
5.10	Grouped	9	2020/4/6	33.48	
5.10	Grouped	9	2020/4/6	34.80	
5.10	Grouped	9	2020/4/6	37.33	
5.10	Grouped	9	2020/4/6	31.11	
